#Locations
L_0	4.0	4.5	0.0
L_1	4.0	6.5	0.0
L_2	4.0	8.5	0.0
L_3	4.0	10.5	0.0
L_4	4.0	12.5	0.0
L_5	4.0	14.5	0.0
L_6	4.0	16.5	0.0
L_7	4.0	18.5	0.0
L_8	4.0	20.5	0.0
L_9	4.0	22.5	0.0
L_10	4.0	24.5	0.0
L_11	4.0	26.5	0.0
L_12	4.0	28.5	0.0
L_13	4.0	30.5	0.0
L_14	4.0	32.5	0.0
L_15	4.0	34.5	0.0
L_16	4.0	36.5	0.0
L_17	4.0	38.5	0.0
L_18	4.0	40.5	0.0
R_18	73.0	40.5	0.0
R_17	73.0	38.5	0.0
R_16	73.0	36.5	0.0
R_15	73.0	34.5	0.0
R_14	73.0	32.5	0.0
R_13	73.0	30.5	0.0
R_12	73.0	28.5	0.0
R_11	73.0	26.5	0.0
R_10	73.0	24.5	0.0
R_9	73.0	22.5	0.0
R_8	73.0	20.5	0.0
R_7	73.0	18.5	0.0
R_6	73.0	16.5	0.0
R_5	73.0	14.5	0.0
R_0	73.0	4.5	0.0
R_1	73.0	6.5	0.0
R_2	73.0	8.5	0.0
R_3	73.0	10.5	0.0
R_4	73.0	12.5	0.0


#Paths
